0.707,1.493,-0.112,-1.253,-0.185,-1.861,-0.092
0.720,1.488,-0.149,-1.256,-0.259,-1.839,-0.129
0.733,1.482,-0.185,-1.259,-0.332,-1.810,-0.166
0.747,1.473,-0.221,-1.263,-0.405,-1.773,-0.203
0.760,1.464,-0.255,-1.268,-0.478,-1.730,-0.239
0.773,1.453,-0.289,-1.274,-0.550,-1.679,-0.275
0.787,1.440,-0.321,-1.280,-0.622,-1.622,-0.311
0.800,1.427,-0.353,-1.287,-0.693,-1.559,-0.346
0.813,1.411,-0.382,-1.294,-0.763,-1.489,-0.382
0.827,1.395,-0.411,-1.303,-0.833,-1.414,-0.416
0.840,1.377,-0.437,-1.312,-0.902,-1.333,-0.451
0.853,1.357,-0.462,-1.321,-0.970,-1.246,-0.485
0.867,1.337,-0.485,-1.332,-1.037,-1.155,-0.518
0.880,1.314,-0.507,-1.343,-1.102,-1.059,-0.551
0.893,1.291,-0.526,-1.354,-1.167,-0.959,-0.584
0.907,1.266,-0.543,-1.367,-1.231,-0.856,-0.616
0.920,1.241,-0.558,-1.380,-1.294,-0.748,-0.647
0.933,1.214,-0.571,-1.393,-1.355,-0.638,-0.677
0.947,1.185,-0.581,-1.407,-1.415,-0.526,-0.707
0.960,1.156,-0.589,-1.422,-1.473,-0.411,-0.737
0.973,1.125,-0.595,-1.437,-1.530,-0.295,-0.765
0.987,1.093,-0.599,-1.453,-1.586,-0.177,-0.793
1.000,1.061,-0.600,-1.470,-1.640,-0.059,-0.820
1.013,1.027,-0.599,-1.487,-1.692,0.059,-0.846
1.027,0.992,-0.595,-1.504,-1.743,0.177,-0.871
1.040,0.956,-0.589,-1.522,-1.792,0.295,-0.896
1.053,0.919,-0.581,-1.540,-1.839,0.411,-0.919
1.067,0.882,-0.571,-1.559,-1.884,0.526,-0.942
1.080,0.843,-0.558,-1.578,-1.928,0.638,-0.964
1.093,0.804,-0.543,-1.598,-1.969,0.748,-0.985
1.107,0.764,-0.526,-1.618,-2.009,0.856,-1.004
1.120,0.723,-0.507,-1.639,-2.047,0.959,-1.023
1.133,0.681,-0.485,-1.660,-2.082,1.059,-1.041
1.147,0.639,-0.462,-1.681,-2.116,1.155,-1.058
1.160,0.596,-0.437,-1.702,-2.147,1.246,-1.074
1.173,0.552,-0.411,-1.724,-2.177,1.333,-1.088
1.187,0.508,-0.382,-1.746,-2.204,1.414,-1.102
1.200,0.464,-0.353,-1.768,-2.229,1.489,-1.115
1.213,0.418,-0.321,-1.791,-2.252,1.559,-1.126
1.227,0.373,-0.289,-1.813,-2.273,1.622,-1.136
1.240,0.327,-0.255,-1.836,-2.291,1.679,-1.145
1.253,0.281,-0.221,-1.859,-2.307,1.730,-1.154
1.267,0.235,-0.185,-1.883,-2.321,1.773,-1.161
1.280,0.188,-0.149,-1.906,-2.333,1.810,-1.166
1.293,0.141,-0.112,-1.929,-2.342,1.839,-1.171
1.307,0.094,-0.075,-1.953,-2.349,1.861,-1.174
1.320,0.047,-0.038,-1.976,-2.353,1.876,-1.177
1.333,-0.000,0.000,-2.000,-2.356,1.884,-1.178
1.347,-0.047,0.038,-2.024,-2.356,1.884,-1.178
1.360,-0.094,0.075,-2.047,-2.353,1.876,-1.177
1.373,-0.141,0.112,-2.071,-2.349,1.861,-1.174
1.387,-0.188,0.149,-2.094,-2.342,1.839,-1.171
1.400,-0.235,0.185,-2.117,-2.333,1.810,-1.166
1.413,-0.281,0.221,-2.141,-2.321,1.773,-1.161
1.427,-0.327,0.255,-2.164,-2.307,1.730,-1.154
1.440,-0.373,0.289,-2.187,-2.291,1.679,-1.145
1.453,-0.418,0.321,-2.209,-2.273,1.622,-1.136
1.467,-0.464,0.353,-2.232,-2.252,1.559,-1.126
1.480,-0.508,0.382,-2.254,-2.229,1.489,-1.115
1.493,-0.552,0.411,-2.276,-2.204,1.414,-1.102
1.507,-0.596,0.437,-2.298,-2.177,1.333,-1.088
1.520,-0.639,0.462,-2.319,-2.147,1.246,-1.074
1.533,-0.681,0.485,-2.340,-2.116,1.155,-1.058
1.547,-0.723,0.507,-2.361,-2.082,1.059,-1.041
1.560,-0.764,0.526,-2.382,-2.047,0.959,-1.023
1.573,-0.804,0.543,-2.402,-2.009,0.856,-1.004
1.587,-0.843,0.558,-2.422,-1.969,0.748,-0.985
1.600,-0.882,0.571,-2.441,-1.928,0.638,-0.964
1.613,-0.919,0.581,-2.460,-1.884,0.526,-0.942
1.627,-0.956,0.589,-2.478,-1.839,0.411,-0.919
1.640,-0.992,0.595,-2.496,-1.792,0.295,-0.896
1.653,-1.027,0.599,-2.513,-1.743,0.177,-0.871
1.667,-1.061,0.600,-2.530,-1.692,0.059,-0.846
1.680,-1.093,0.599,-2.547,-1.640,-0.059,-0.820
1.693,-1.125,0.595,-2.563,-1.586,-0.177,-0.793
1.707,-1.156,0.589,-2.578,-1.530,-0.295,-0.765
1.720,-1.185,0.581,-2.593,-1.473,-0.411,-0.737
1.733,-1.214,0.571,-2.607,-1.415,-0.526,-0.707
1.747,-1.241,0.558,-2.620,-1.355,-0.638,-0.677
1.760,-1.266,0.543,-2.633,-1.294,-0.748,-0.647
1.773,-1.291,0.526,-2.646,-1.231,-0.856,-0.616
1.787,-1.314,0.507,-2.657,-1.167,-0.959,-0.584
1.800,-1.337,0.485,-2.668,-1.102,-1.059,-0.551
1.813,-1.357,0.462,-2.679,-1.037,-1.155,-0.518
1.827,-1.377,0.437,-2.688,-0.970,-1.246,-0.485
1.840,-1.395,0.411,-2.697,-0.902,-1.333,-0.451
1.853,-1.411,0.382,-2.706,-0.833,-1.414,-0.416
1.867,-1.427,0.353,-2.713,-0.763,-1.489,-0.382
1.880,-1.440,0.321,-2.720,-0.693,-1.559,-0.346
1.893,-1.453,0.289,-2.726,-0.622,-1.622,-0.311
1.907,-1.464,0.255,-2.732,-0.550,-1.679,-0.275
1.920,-1.473,0.221,-2.737,-0.478,-1.730,-0.239
1.933,-1.482,0.185,-2.741,-0.405,-1.773,-0.203
1.947,-1.488,0.149,-2.744,-0.332,-1.810,-0.166
1.960,-1.493,0.112,-2.747,-0.259,-1.839,-0.129
1.973,-1.497,0.075,-2.749,-0.185,-1.861,-0.092
1.987,-1.499,0.038,-2.750,-0.111,-1.876,-0.055
2.000,-1.500,-0.000,-2.750,-0.037,-1.884,-0.019
2.013,-1.499,-0.038,-2.750,0.037,-1.884,0.019
2.027,-1.497,-0.075,-2.749,0.111,-1.876,0.055
2.040,-1.493,-0.112,-2.747,0.185,-1.861,0.092
2.053,-1.488,-0.149,-2.744,0.259,-1.839,0.129
2.067,-1.482,-0.185,-2.741,0.332,-1.810,0.166
2.080,-1.473,-0.221,-2.737,0.405,-1.773,0.203
2.093,-1.464,-0.255,-2.732,0.478,-1.730,0.239
